Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
900076,Ms.,Rachel,Y,Johnson,F,rachel.johnson76@outlook.com,Father Johnson,Mother Johnson,Maiden76,10/15/1987,03:20:14 AM,38.84,81,11/23/2017,Q4,H2,2017,11,November,Nov,23,Thursday,Thu,8.73,133757,16%,648-84-1612,389-977-8166,New York,New York,New York,NY,10001,Northeast,rjohnson76,Pw76!xA9#
900077,Hon.,David,Z,Taylor,M,david.taylor77@outlook.com,Father Taylor,Mother Taylor,Maiden77,01/25/1983,02:10:45 AM,43.56,48,11/16/2005,Q4,H2,2005,11,November,Nov,16,Wednesday,Wed,20.75,90239,8%,235-52-4119,461-447-4108,Chicago,Cook,Chicago,IL,60601,Midwest,dtaylor77,Pw77!xA9#
900078,Mr.,Estella,A,Taylor,F,estella.taylor78@yahoo.com,Father Taylor,Mother Taylor,Maiden78,02/09/1975,12:31:47 AM,51.52,53,11/16/2011,Q4,H2,2011,11,November,Nov,16,Wednesday,Wed,14.75,89054,20%,694-95-4897,317-632-2784,Kansas City,Wyandotte,Kansas City,KS,66101,Midwest,etaylor78,Pw78!xA9#
900079,Mrs.,Thomas,B,Johnson,M,thomas.johnson79@yahoo.com,Father Johnson,Mother Johnson,Maiden79,08/17/1965,09:08:15 AM,61.0,79,11/5/2007,Q4,H2,2007,11,November,Nov,5,Monday,Mon,18.78,129574,12%,351-31-2394,472-985-6020,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,tjohnson79,Pw79!xA9#
900080,Mr.,Elisabeth,C,Davis,F,elisabeth.davis80@walmart.com,Father Davis,Mother Davis,Maiden80,09/13/1989,01:51:04 AM,36.93,77,11/12/2016,Q4,H2,2016,11,November,Nov,12,Saturday,Sat,9.76,98916,27%,856-45-2292,990-886-9521,Atlanta,Fulton,Atlanta,GA,30303,South,edavis80,Pw80!xA9#
900081,Mr.,Charles,D,Moore,M,charles.moore81@outlook.com,Father Moore,Mother Moore,Maiden81,03/12/1970,08:02:04 AM,56.43,80,11/28/2019,Q4,H2,2019,11,November,Nov,28,Thursday,Thu,6.72,123429,30%,886-17-2768,303-684-7402,Boston,Suffolk,Boston,MA,2108,Northeast,cmoore81,Pw81!xA9#
900082,Dr.,Estella,E,Anderson,F,estella.anderson82@gmail.com,Father Anderson,Mother Anderson,Maiden82,03/28/1957,12:54:56 AM,69.39,100,11/12/2011,Q4,H2,2011,11,November,Nov,12,Saturday,Sat,14.76,139819,23%,267-89-5957,465-264-8321,Wichita,Sedgwick,Wichita,KS,67202,Midwest,eanderson82,Pw82!xA9#
900083,Mr.,Nathaniel,F,Johnson,M,nathaniel.johnson83@walmart.com,Father Johnson,Mother Johnson,Maiden83,01/09/1962,02:08:29 AM,64.6,74,11/14/2013,Q4,H2,2013,11,November,Nov,14,Thursday,Thu,12.76,91943,26%,241-89-9799,809-831-6068,Kansas City,Wyandotte,Kansas City,KS,66101,Midwest,njohnson83,Pw83!xA9#
900084,Ms.,Rachel,G,White,F,rachel.white84@yahoo.com,Father White,Mother White,Maiden84,01/27/1970,03:12:49 AM,56.55,81,11/21/2020,Q4,H2,2020,11,November,Nov,21,Saturday,Sat,5.74,134250,12%,902-92-8450,522-273-2532,Boston,Suffolk,Boston,MA,2108,Northeast,rwhite84,Pw84!xA9#
900085,Ms.,Thomas,H,Davis,M,thomas.davis85@walmart.com,Father Davis,Mother Davis,Maiden85,06/01/1981,11:56:35 AM,45.21,79,11/10/2017,Q4,H2,2017,11,November,Nov,10,Friday,Fri,8.77,103788,23%,662-12-9645,310-649-3087,Dallas,Dallas,Dallas,TX,75201,South,tdavis85,Pw85!xA9#
900086,Prof.,Briana,I,Taylor,F,briana.taylor86@yahoo.com,Father Taylor,Mother Taylor,Maiden86,07/20/1992,02:06:39 AM,34.08,53,12/24/2019,Q4,H2,2019,12,December,Dec,24,Tuesday,Tue,6.65,109491,23%,388-53-3242,523-903-8160,Detroit,Wayne,Detroit,MI,48201,Midwest,btaylor86,Pw86!xA9#
900087,Mr.,William,J,Johnson,M,william.johnson87@gmail.com,Father Johnson,Mother Johnson,Maiden87,08/20/1976,05:55:54 AM,49.99,85,9/12/2017,Q3,H2,2017,9,September,Sep,12,Tuesday,Tue,8.93,92653,12%,401-69-9871,420-667-2167,Topeka,Shawnee,Topeka,KS,66603,Midwest,wjohnson87,Pw87!xA9#
900088,Dr.,Estella,K,Davis,F,estella.davis88@gmail.com,Father Davis,Mother Davis,Maiden88,08/18/1978,07:22:52 AM,48.0,63,9/5/2014,Q3,H2,2014,9,September,Sep,5,Friday,Fri,11.95,143022,12%,528-67-3601,207-496-9253,Lexington,Fayette,Lexington,KY,40501,South,edavis88,Pw88!xA9#
900089,Dr.,Matthew,L,Smith,M,matthew.smith89@gmail.com,Father Smith,Mother Smith,Maiden89,04/30/1983,12:57:15 AM,43.3,64,8/6/2018,Q3,H2,2018,8,August,Aug,6,Monday,Mon,8.03,145115,19%,331-10-1652,573-500-3333,Dallas,Dallas,Dallas,TX,75201,South,msmith89,Pw89!xA9#
900090,Mrs.,Jessica,M,White,F,jessica.white90@yahoo.com,Father White,Mother White,Maiden90,10/13/1989,02:09:11 AM,36.84,80,4/27/2019,Q2,H1,2019,4,April,Apr,27,Saturday,Sat,7.31,80362,30%,666-80-9752,730-206-1970,Kansas City,Wyandotte,Kansas City,KS,66101,Midwest,jwhite90,Pw90!xA9#
900091,Ms.,James,N,Davis,M,james.davis91@gmail.com,Father Davis,Mother Davis,Maiden91,10/29/1963,01:54:44 AM,62.8,76,12/6/2016,Q4,H2,2016,12,December,Dec,6,Tuesday,Tue,9.69,111908,24%,363-37-7286,814-846-6621,Phoenix,Maricopa,Phoenix,AZ,85001,West,jdavis91,Pw91!xA9#
900092,Mr.,Rachel,O,Thomas,F,rachel.thomas92@outlook.com,Father Thomas,Mother Thomas,Maiden92,03/21/1981,03:20:39 AM,45.41,46,3/10/2011,Q1,H1,2011,3,March,Mar,10,Thursday,Thu,15.44,103184,20%,903-78-8535,936-489-3324,Lexington,Fayette,Lexington,KY,40501,South,rthomas92,Pw92!xA9#
900093,Dr.,James,P,Davis,M,james.davis93@yahoo.com,Father Davis,Mother Davis,Maiden93,10/19/1968,05:31:42 AM,57.83,46,6/7/2007,Q2,H1,2007,6,June,Jun,7,Thursday,Thu,19.2,160999,18%,136-86-8829,664-427-4384,Phoenix,Maricopa,Phoenix,AZ,85001,West,jdavis93,Pw93!xA9#
900094,Ms.,Jessica,Q,Johnson,F,jessica.johnson94@yahoo.com,Father Johnson,Mother Johnson,Maiden94,12/15/1977,09:49:53 AM,48.67,47,6/21/2008,Q2,H1,2008,6,June,Jun,21,Saturday,Sat,18.15,108238,25%,975-77-4297,377-464-7756,Los Angeles,Los Angeles,Los Angeles,CA,90001,West,jjohnson94,Pw94!xA9#
900095,Dr.,William,R,Jackson,M,william.jackson95@outlook.com,Father Jackson,Mother Jackson,Maiden95,10/09/1972,11:05:00 AM,53.85,61,10/1/2008,Q4,H2,2008,10,October,Oct,1,Wednesday,Wed,17.88,149163,15%,782-60-7666,865-788-6697,Lexington,Fayette,Lexington,KY,40501,South,wjackson95,Pw95!xA9#
900096,Prof.,Emily,S,Miller,F,emily.miller96@gmail.com,Father Miller,Mother Miller,Maiden96,06/16/1979,06:13:57 AM,47.17,72,7/24/2009,Q3,H2,2009,7,July,Jul,24,Friday,Fri,17.07,131516,28%,155-99-1086,616-377-2653,Phoenix,Maricopa,Phoenix,AZ,85001,West,emiller96,Pw96!xA9#
900097,Mrs.,Robert,T,Miller,M,robert.miller97@outlook.com,Father Miller,Mother Miller,Maiden97,09/30/1964,09:02:19 AM,61.88,78,10/10/2010,Q4,H2,2010,10,October,Oct,10,Sunday,Sun,15.85,97763,14%,390-59-1487,869-265-9854,Atlanta,Fulton,Atlanta,GA,30303,South,rmiller97,Pw97!xA9#
900098,Mrs.,Shawna,U,Wilson,F,shawna.wilson98@yahoo.com,Father Wilson,Mother Wilson,Maiden98,03/19/1965,09:02:08 AM,61.41,77,2/2/2011,Q1,H1,2011,2,February,Feb,2,Wednesday,Wed,15.54,109755,14%,371-52-9954,625-478-3955,Atlanta,Fulton,Atlanta,GA,30303,South,swilson98,Pw98!xA9#
900099,Prof.,Charles,V,Davis,M,charles.davis99@walmart.com,Father Davis,Mother Davis,Maiden99,10/09/1986,07:39:31 AM,39.85,55,10/14/2019,Q4,H2,2019,10,October,Oct,14,Monday,Mon,6.84,120316,6%,446-46-9512,933-232-4233,Houston,Harris,Houston,TX,77002,South,cdavis99,Pw99!xA9#
900100,Prof.,Amanda,W,Brown,F,amanda.brown100@gmail.com,Father Brown,Mother Brown,Maiden100,10/16/1969,02:40:43 AM,56.84,83,6/11/2016,Q2,H1,2016,6,June,Jun,11,Saturday,Sat,10.18,150965,25%,699-32-6344,460-395-9393,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,abrown100,Pw100!xA9#
900101,Mrs.,David,X,Jackson,M,david.jackson101@yahoo.com,Father Jackson,Mother Jackson,Maiden101,06/02/1968,06:43:31 AM,58.21,80,8/23/2014,Q3,H2,2014,8,August,Aug,23,Saturday,Sat,11.98,107288,29%,728-54-7953,915-564-9092,Dallas,Dallas,Dallas,TX,75201,South,djackson101,Pw101!xA9#
900102,Ms.,Amanda,Y,Smith,F,amanda.smith102@gmail.com,Father Smith,Mother Smith,Maiden102,06/30/1974,05:18:07 AM,52.13,76,7/18/2009,Q3,H2,2009,7,July,Jul,18,Saturday,Sat,17.08,94967,8%,281-73-6853,347-889-6918,Chicago,Cook,Chicago,IL,60601,Midwest,asmith102,Pw102!xA9#
900103,Dr.,James,Z,Jackson,M,james.jackson103@gmail.com,Father Jackson,Mother Jackson,Maiden103,07/01/1980,12:28:44 AM,46.13,72,6/14/2007,Q2,H1,2007,6,June,Jun,14,Thursday,Thu,19.18,150913,10%,627-40-1983,418-735-3620,Houston,Harris,Houston,TX,77002,South,jjackson103,Pw103!xA9#
900104,Mrs.,Briana,A,Smith,F,briana.smith104@gmail.com,Father Smith,Mother Smith,Maiden104,06/02/1983,09:46:52 AM,43.21,100,9/25/2010,Q3,H2,2010,9,September,Sep,25,Saturday,Sat,15.89,84024,12%,589-58-6651,388-529-1780,Wichita,Sedgwick,Wichita,KS,67202,Midwest,bsmith104,Pw104!xA9#
900105,Prof.,Michael,B,Moore,M,michael.moore105@gmail.com,Father Moore,Mother Moore,Maiden105,12/18/1956,09:46:39 AM,69.66,49,5/25/2007,Q2,H1,2007,5,May,May,25,Friday,Fri,19.23,113780,7%,459-29-8194,736-619-8441,Chicago,Cook,Chicago,IL,60601,Midwest,mmoore105,Pw105!xA9#
900106,Mr.,Shawna,C,Smith,F,shawna.smith106@gmail.com,Father Smith,Mother Smith,Maiden106,08/04/1986,05:38:03 AM,40.04,78,1/25/2017,Q1,H1,2017,1,January,Jan,25,Wednesday,Wed,9.56,98428,17%,579-79-8527,695-519-2510,Lexington,Fayette,Lexington,KY,40501,South,ssmith106,Pw106!xA9#
900107,Ms.,Michael,D,Moore,M,michael.moore107@walmart.com,Father Moore,Mother Moore,Maiden107,08/16/1973,06:08:22 AM,53.0,69,2/12/2018,Q1,H1,2018,2,February,Feb,12,Monday,Mon,8.51,98323,8%,755-17-7254,961-284-8641,Dallas,Dallas,Dallas,TX,75201,South,mmoore107,Pw107!xA9#
900108,Ms.,Rachel,E,Miller,F,rachel.miller108@yahoo.com,Father Miller,Mother Miller,Maiden108,03/24/1970,07:26:47 AM,56.4,46,8/18/2007,Q3,H2,2007,8,August,Aug,18,Saturday,Sat,19.0,134723,28%,484-67-9571,489-515-7088,Boston,Suffolk,Boston,MA,2108,Northeast,rmiller108,Pw108!xA9#
900109,Prof.,Charles,F,Taylor,M,charles.taylor109@yahoo.com,Father Taylor,Mother Taylor,Maiden109,01/20/1983,02:59:13 AM,43.57,60,6/3/2017,Q2,H1,2017,6,June,Jun,3,Saturday,Sat,9.2,135159,27%,665-53-7997,941-238-8824,Phoenix,Maricopa,Phoenix,AZ,85001,West,ctaylor109,Pw109!xA9#
900110,Prof.,Briana,G,Taylor,F,briana.taylor110@yahoo.com,Father Taylor,Mother Taylor,Maiden110,03/20/1983,06:11:57 AM,43.41,70,1/2/2019,Q1,H1,2019,1,January,Jan,2,Wednesday,Wed,7.62,106529,13%,750-27-2705,965-355-2162,Topeka,Shawnee,Topeka,KS,66603,Midwest,btaylor110,Pw110!xA9#
900111,Ms.,David,H,Wilson,M,david.wilson111@gmail.com,Father Wilson,Mother Wilson,Maiden111,09/18/1973,05:54:16 AM,52.91,58,10/28/2017,Q4,H2,2017,10,October,Oct,28,Saturday,Sat,8.8,100063,9%,879-58-5455,792-888-1797,Houston,Harris,Houston,TX,77002,South,dwilson111,Pw111!xA9#
900112,Mr.,Elisabeth,I,Johnson,F,elisabeth.johnson112@yahoo.com,Father Johnson,Mother Johnson,Maiden112,01/03/1973,06:27:07 AM,53.62,84,1/5/2012,Q1,H1,2012,1,January,Jan,5,Thursday,Thu,14.61,115671,14%,155-11-9969,398-377-6615,Seattle,King,Seattle,WA,98101,West,ejohnson112,Pw112!xA9#
900113,Mrs.,Charles,J,Miller,M,charles.miller113@gmail.com,Father Miller,Mother Miller,Maiden113,10/17/1965,01:50:27 AM,60.83,62,10/14/2015,Q4,H2,2015,10,October,Oct,14,Wednesday,Wed,10.84,127633,14%,150-35-5147,631-363-6564,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,cmiller113,Pw113!xA9#
900114,Mr.,Jennifer,K,Moore,F,jennifer.moore114@outlook.com,Father Moore,Mother Moore,Maiden114,09/06/1984,09:16:52 AM,41.94,71,3/10/2015,Q1,H1,2015,3,March,Mar,10,Tuesday,Tue,11.44,93686,22%,656-90-9456,565-460-7010,Detroit,Wayne,Detroit,MI,48201,Midwest,jmoore114,Pw114!xA9#
900115,Mr.,Charles,L,Davis,M,charles.davis115@gmail.com,Father Davis,Mother Davis,Maiden115,06/27/1963,02:52:08 AM,63.14,54,12/6/2005,Q4,H2,2005,12,December,Dec,6,Tuesday,Tue,20.7,120718,11%,328-68-3626,297-966-4806,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,cdavis115,Pw115!xA9#
900116,Mr.,Rachel,M,Anderson,F,rachel.anderson116@yahoo.com,Father Anderson,Mother Anderson,Maiden116,07/29/1955,08:11:53 AM,71.05,59,3/13/2008,Q1,H1,2008,3,March,Mar,13,Thursday,Thu,18.43,89696,6%,175-70-7059,446-921-2532,Detroit,Wayne,Detroit,MI,48201,Midwest,randerson116,Pw116!xA9#
900117,Dr.,Matthew,N,Moore,M,matthew.moore117@walmart.com,Father Moore,Mother Moore,Maiden117,12/04/1952,10:34:58 AM,73.7,85,6/2/2006,Q2,H1,2006,6,June,Jun,2,Friday,Fri,20.21,165289,26%,593-44-1571,688-906-9714,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,mmoore117,Pw117!xA9#
900118,Ms.,Jennifer,O,Jackson,F,jennifer.jackson118@yahoo.com,Father Jackson,Mother Jackson,Maiden118,03/11/1974,01:26:45 AM,52.44,100,6/8/2016,Q2,H1,2016,6,June,Jun,8,Wednesday,Wed,10.19,84265,5%,278-66-1151,687-963-8471,Wichita,Sedgwick,Wichita,KS,67202,Midwest,jjackson118,Pw118!xA9#
900119,Ms.,Charles,P,Brown,M,charles.brown119@walmart.com,Father Brown,Mother Brown,Maiden119,03/27/1967,06:23:45 AM,59.39,75,10/23/2016,Q4,H2,2016,10,October,Oct,23,Sunday,Sun,9.82,118324,24%,401-77-6311,758-526-9556,Los Angeles,Los Angeles,Los Angeles,CA,90001,West,cbrown119,Pw119!xA9#
900120,Ms.,Sarah,Q,Jackson,F,sarah.jackson120@walmart.com,Father Jackson,Mother Jackson,Maiden120,11/20/1960,02:49:39 AM,65.74,56,10/20/2010,Q4,H2,2010,10,October,Oct,20,Wednesday,Wed,15.82,95483,30%,588-45-2339,505-529-2689,Houston,Harris,Houston,TX,77002,South,sjackson120,Pw120!xA9#
900121,Hon.,William,R,Thomas,M,william.thomas121@walmart.com,Father Thomas,Mother Thomas,Maiden121,09/07/1975,02:35:48 AM,50.94,75,9/27/2013,Q3,H2,2013,9,September,Sep,27,Friday,Fri,12.89,95074,16%,248-62-1915,240-958-7816,Lexington,Fayette,Lexington,KY,40501,South,wthomas121,Pw121!xA9#
900122,Ms.,Elisabeth,S,Anderson,F,elisabeth.anderson122@gmail.com,Father Anderson,Mother Anderson,Maiden122,02/06/1978,12:22:49 AM,48.53,75,3/19/2009,Q1,H1,2009,3,March,Mar,19,Thursday,Thu,17.41,99147,5%,994-10-8749,836-532-9024,Atlanta,Fulton,Atlanta,GA,30303,South,eanderson122,Pw122!xA9#
900123,Ms.,James,T,Thomas,M,james.thomas123@walmart.com,Father Thomas,Mother Thomas,Maiden123,03/26/1979,10:47:27 AM,47.39,85,12/8/2015,Q4,H2,2015,12,December,Dec,8,Tuesday,Tue,10.69,96149,18%,856-39-5322,881-380-2663,Houston,Harris,Houston,TX,77002,South,jthomas123,Pw123!xA9#
900124,Hon.,Jennifer,U,Anderson,F,jennifer.anderson124@outlook.com,Father Anderson,Mother Anderson,Maiden124,07/11/1978,12:06:19 AM,48.1,53,10/8/2014,Q4,H2,2014,10,October,Oct,8,Wednesday,Wed,11.86,96403,9%,157-84-7581,280-701-2598,Atlanta,Fulton,Atlanta,GA,30303,South,janderson124,Pw124!xA9#
900125,Ms.,Robert,V,Taylor,M,robert.taylor125@yahoo.com,Father Taylor,Mother Taylor,Maiden125,03/20/1974,07:48:29 AM,52.41,80,4/12/2014,Q2,H1,2014,4,April,Apr,12,Saturday,Sat,12.35,81156,20%,694-73-4611,636-991-6952,Kansas City,Wyandotte,Kansas City,KS,66101,Midwest,rtaylor125,Pw125!xA9#
900126,Mr.,Jessica,W,Taylor,F,jessica.taylor126@yahoo.com,Father Taylor,Mother Taylor,Maiden126,12/26/1986,09:31:19 AM,39.64,73,8/8/2014,Q3,H2,2014,8,August,Aug,8,Friday,Fri,12.02,116657,5%,569-77-9420,494-699-2800,Los Angeles,Los Angeles,Los Angeles,CA,90001,West,jtaylor126,Pw126!xA9#
900127,Mr.,David,X,Moore,M,david.moore127@walmart.com,Father Moore,Mother Moore,Maiden127,09/23/1953,04:12:34 AM,72.9,52,1/1/2006,Q1,H1,2006,1,January,Jan,1,Sunday,Sun,20.62,106312,8%,249-87-9257,255-926-4330,Atlanta,Fulton,Atlanta,GA,30303,South,dmoore127,Pw127!xA9#
900128,Mr.,Amanda,Y,Jackson,F,amanda.jackson128@gmail.com,Father Jackson,Mother Jackson,Maiden128,05/12/1966,02:14:57 AM,60.27,56,2/12/2008,Q1,H1,2008,2,February,Feb,12,Tuesday,Tue,18.51,134877,28%,135-53-3795,967-205-5412,Boston,Suffolk,Boston,MA,2108,Northeast,ajackson128,Pw128!xA9#
900129,Mr.,James,Z,Davis,M,james.davis129@walmart.com,Father Davis,Mother Davis,Maiden129,12/16/1975,12:25:29 AM,50.67,83,8/4/2007,Q3,H2,2007,8,August,Aug,4,Saturday,Sat,19.04,130964,24%,546-35-2345,502-317-4895,New York,New York,New York,NY,10001,Northeast,jdavis129,Pw129!xA9#
900130,Mr.,Emily,A,Davis,F,emily.davis130@yahoo.com,Father Davis,Mother Davis,Maiden130,02/17/1968,07:18:23 AM,58.5,72,12/14/2006,Q4,H2,2006,12,December,Dec,14,Thursday,Thu,19.67,91335,17%,708-53-4371,989-705-4027,Detroit,Wayne,Detroit,MI,48201,Midwest,edavis130,Pw130!xA9#
900131,Ms.,Thomas,B,Miller,M,thomas.miller131@walmart.com,Father Miller,Mother Miller,Maiden131,10/08/1967,05:25:50 AM,58.86,82,6/13/2006,Q2,H1,2006,6,June,Jun,13,Tuesday,Tue,20.18,130989,21%,265-41-2916,597-246-3270,Boston,Suffolk,Boston,MA,2108,Northeast,tmiller131,Pw131!xA9#
900132,Mr.,Rachel,C,Davis,F,rachel.davis132@walmart.com,Father Davis,Mother Davis,Maiden132,07/21/1975,04:57:49 AM,51.07,76,10/16/2012,Q4,H2,2012,10,October,Oct,16,Tuesday,Tue,13.83,124310,19%,991-53-8752,798-969-2711,Boston,Suffolk,Boston,MA,2108,Northeast,rdavis132,Pw132!xA9#
900133,Dr.,William,D,Thomas,M,william.thomas133@yahoo.com,Father Thomas,Mother Thomas,Maiden133,04/06/1964,04:14:46 AM,62.36,48,12/17/2012,Q4,H2,2012,12,December,Dec,17,Monday,Mon,13.66,128852,18%,176-99-8879,212-781-9840,Chicago,Cook,Chicago,IL,60601,Midwest,wthomas133,Pw133!xA9#
900134,Mrs.,Rachel,E,Taylor,F,rachel.taylor134@walmart.com,Father Taylor,Mother Taylor,Maiden134,12/29/1988,04:20:45 AM,37.63,66,3/18/2013,Q1,H1,2013,3,March,Mar,18,Monday,Mon,13.42,131765,5%,522-42-5521,583-422-9142,Boston,Suffolk,Boston,MA,2108,Northeast,rtaylor134,Pw134!xA9#
900135,Dr.,Nathaniel,F,Thomas,M,nathaniel.thomas135@walmart.com,Father Thomas,Mother Thomas,Maiden135,03/29/1986,03:41:15 AM,40.39,75,3/4/2013,Q1,H1,2013,3,March,Mar,4,Monday,Mon,13.45,131974,23%,963-39-8772,822-982-1224,Detroit,Wayne,Detroit,MI,48201,Midwest,nthomas135,Pw135!xA9#
900136,Mr.,Emily,G,Jackson,F,emily.jackson136@outlook.com,Father Jackson,Mother Jackson,Maiden136,04/12/1981,02:42:19 AM,45.35,54,10/15/2018,Q4,H2,2018,10,October,Oct,15,Monday,Mon,7.84,95477,9%,674-98-9961,972-532-7736,Houston,Harris,Houston,TX,77002,South,ejackson136,Pw136!xA9#
900137,Hon.,Robert,H,Moore,M,robert.moore137@walmart.com,Father Moore,Mother Moore,Maiden137,09/04/1986,09:04:03 AM,39.95,45,4/21/2013,Q2,H1,2013,4,April,Apr,21,Sunday,Sun,13.32,93557,29%,584-42-1226,950-264-2415,Detroit,Wayne,Detroit,MI,48201,Midwest,rmoore137,Pw137!xA9#
900138,Mrs.,Briana,I,Jackson,F,briana.jackson138@gmail.com,Father Jackson,Mother Jackson,Maiden138,03/30/1983,06:45:34 AM,43.38,68,7/20/2013,Q3,H2,2013,7,July,Jul,20,Saturday,Sat,13.08,103751,14%,911-11-3279,580-212-8021,Lexington,Fayette,Lexington,KY,40501,South,bjackson138,Pw138!xA9#
900139,Mr.,Robert,J,Miller,M,robert.miller139@outlook.com,Father Miller,Mother Miller,Maiden139,04/16/1983,12:49:35 AM,43.34,58,6/19/2011,Q2,H1,2011,6,June,Jun,19,Sunday,Sun,15.16,118074,6%,842-82-6506,934-244-8032,Los Angeles,Los Angeles,Los Angeles,CA,90001,West,rmiller139,Pw139!xA9#
900140,Ms.,Elisabeth,K,Jackson,F,elisabeth.jackson140@yahoo.com,Father Jackson,Mother Jackson,Maiden140,05/22/1966,05:28:17 AM,60.24,100,4/24/2017,Q2,H1,2017,4,April,Apr,24,Monday,Mon,9.31,89082,29%,938-33-5153,533-852-5503,Wichita,Sedgwick,Wichita,KS,67202,Midwest,ejackson140,Pw140!xA9#
900141,Mr.,Michael,L,Thomas,M,michael.thomas141@gmail.com,Father Thomas,Mother Thomas,Maiden141,06/19/1977,11:49:19 AM,49.16,100,8/23/2008,Q3,H2,2008,8,August,Aug,23,Saturday,Sat,17.98,87761,21%,441-65-4149,390-773-1749,Wichita,Sedgwick,Wichita,KS,67202,Midwest,mthomas141,Pw141!xA9#
900142,Ms.,Briana,M,Davis,F,briana.davis142@walmart.com,Father Davis,Mother Davis,Maiden142,11/25/1976,04:15:39 AM,49.72,82,1/7/2009,Q1,H1,2009,1,January,Jan,7,Wednesday,Wed,17.61,97133,30%,177-75-5755,251-235-4539,Lexington,Fayette,Lexington,KY,40501,South,bdavis142,Pw142!xA9#
900143,Hon.,Thomas,N,White,M,thomas.white143@yahoo.com,Father White,Mother White,Maiden143,01/31/1986,08:26:30 AM,40.54,55,10/1/2014,Q4,H2,2014,10,October,Oct,1,Wednesday,Wed,11.88,84350,11%,656-97-2592,231-693-7067,Chicago,Cook,Chicago,IL,60601,Midwest,twhite143,Pw143!xA9#
900144,Mr.,Emily,O,Moore,F,emily.moore144@yahoo.com,Father Moore,Mother Moore,Maiden144,03/27/1975,10:09:07 AM,51.39,59,5/14/2005,Q2,H1,2005,5,May,May,14,Saturday,Sat,21.26,94531,21%,252-62-5821,555-279-2969,Topeka,Shawnee,Topeka,KS,66603,Midwest,emoore144,Pw144!xA9#
900145,Ms.,Matthew,P,Wilson,M,matthew.wilson145@gmail.com,Father Wilson,Mother Wilson,Maiden145,12/07/1985,10:42:53 AM,40.69,82,5/26/2015,Q2,H1,2015,5,May,May,26,Tuesday,Tue,11.23,97145,29%,391-67-4383,640-741-1371,Houston,Harris,Houston,TX,77002,South,mwilson145,Pw145!xA9#
900146,Mr.,Elisabeth,Q,Taylor,F,elisabeth.taylor146@outlook.com,Father Taylor,Mother Taylor,Maiden146,09/21/1992,01:14:07 AM,33.9,46,9/16/2017,Q3,H2,2017,9,September,Sep,16,Saturday,Sat,8.92,87593,17%,159-81-5348,269-445-9283,Detroit,Wayne,Detroit,MI,48201,Midwest,etaylor146,Pw146!xA9#
900147,Mrs.,Michael,R,Brown,M,michael.brown147@yahoo.com,Father Brown,Mother Brown,Maiden147,03/20/1990,07:32:49 AM,36.41,65,3/7/2018,Q1,H1,2018,3,March,Mar,7,Wednesday,Wed,8.45,108659,14%,701-83-3255,218-379-2567,Phoenix,Maricopa,Phoenix,AZ,85001,West,mbrown147,Pw147!xA9#
900148,Mr.,Estella,S,Davis,F,estella.davis148@outlook.com,Father Davis,Mother Davis,Maiden148,08/17/1989,04:39:31 AM,37.0,51,1/21/2019,Q1,H1,2019,1,January,Jan,21,Monday,Mon,7.57,88236,11%,902-78-7857,936-927-2004,Kansas City,Wyandotte,Kansas City,KS,66101,Midwest,edavis148,Pw148!xA9#
900149,Mr.,Nathaniel,T,Smith,M,nathaniel.smith149@walmart.com,Father Smith,Mother Smith,Maiden149,05/22/1979,04:35:09 AM,47.24,48,8/6/2009,Q3,H2,2009,8,August,Aug,6,Thursday,Thu,17.03,126307,19%,514-54-7141,958-808-1193,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,nsmith149,Pw149!xA9#
900150,Ms.,Elisabeth,U,Anderson,F,elisabeth.anderson150@walmart.com,Father Anderson,Mother Anderson,Maiden150,10/13/1978,01:44:13 AM,47.84,70,7/26/2014,Q3,H2,2014,7,July,Jul,26,Saturday,Sat,12.06,97408,14%,955-91-5916,519-532-9966,Dallas,Dallas,Dallas,TX,75201,South,eanderson150,Pw150!xA9#
900151,Mrs.,Thomas,V,Smith,M,thomas.smith151@walmart.com,Father Smith,Mother Smith,Maiden151,09/15/1955,02:37:08 AM,70.92,69,10/27/2006,Q4,H2,2006,10,October,Oct,27,Friday,Fri,19.81,81784,21%,177-28-6463,554-250-5668,Topeka,Shawnee,Topeka,KS,66603,Midwest,tsmith151,Pw151!xA9#
900152,Dr.,Estella,W,Taylor,F,estella.taylor152@gmail.com,Father Taylor,Mother Taylor,Maiden152,01/30/1963,02:09:25 AM,63.55,76,8/22/2005,Q3,H2,2005,8,August,Aug,22,Monday,Mon,20.99,172822,8%,736-82-3557,975-891-5434,New York,New York,New York,NY,10001,Northeast,etaylor152,Pw152!xA9#
